session_id,day,start,end,complexity,description,speaker,tags,title
100,16,14:00,14:15,Beginner,The Opening of the event,nicholas_mendez,opening,Introduction and Opening
100,16,14:00,14:15,Beginner,The Opening of the event,nicholas_mendez,opening,Introduction and Opening
110,16,14:15,14:45,Beginner,"Overview of the open source development of Caribbean Virus Tracker project. This session will discuss the approach, the tech stack, the issues faced and future developments of the project.",obika_gellineau,"javascript','python','open source','covid-19'",Open Source during COVID-19: A lesson about the Caribbean Virus Tracker
120,16,14:45,15:15,Beginner,"Just about when the COVID situation was evolving into a pandemic, a journalist contacted me lamenting the fact they as journalists, would have to go to Johns Hopkins site and manually sum up the Caribbean relevant data. Armed with the link to the open Johns Hopkins data, it quickly became clear that what they needed could easily be built. Several months later, the code and features have evolved. In this lightning talk I would walk through my tech stack (React.js), parsing the CSV from Johns Hopkins and deployment. If time permits, I can talk a bit about deciding to make this map open source.",janiqua,"javascript, COVID","caricovidmap, making caribbean focused information more accesible."
130,16,15:15,16:00,Intermediate,"Listen, COVID19 hit us like a ton of bricks. It's a pandemic. We're on various forms of lockdown - officially or not. I've built some chatbots that help with managing a bit of my work life that I'd love to share. They help with working together at home, balance and even engagement. ",irwin,"chatbots, cloud, calling, work, covid19",Agents of TEAMS
140,16,16:00,16:15,Advanced,"Data engineering roles are in high demand, yet the number of women in manager or leadership roles has no shifted. As a hiring manager I will give you insight into how tailor your application to go for the manager role, what hiring managers look for in applicant, how to highlight your skills as a leader.",liza_layne,"Data Engineer','IC','Manager'",Level up from IC Data Engineer to Data Manager?
200,17,11:00,11:05,Beginner,The opening of Day 2,aggrey,opening,Day 2 Opening
210,17,11:05,11:55,Intermediate,"Android 11 is the eleventh major release and the 18th version of the Android mobile operating system. It was released on September 8, 2020. I will be diving into the latest features that have been brought to the operating system for users and developers alike. ",joel_dean,"android','mobile'","Let's Talk Android 11 "
220,17,11:55,12:25,Beginner,In this talk I will go through the new api which helps to get user feedback within the app without interrupting the user. I will cover the concepts as well as implementation including testing.,nav_singh,android ux mobile feedback,Get user's feedback using InAppReview API
230,17,12:25,12:55,Intermediate,"For several years now, that we’ve been trying to find new solutions on how we could develop a single project and run it on all platforms. We’ve been seeing all types of solutions: some are web-based, others require you to learn a new language, and others even may require that you pay a monthly fee to use. It also comes with the drawback that all your UI depends on the framework implementation. So, if there’s a native update you’ll need to wait until someone rewrites the widgets for you to update your app.

Kotlin multiplatform gives us a new solution. It focuses on sharing your business logic across all platforms, leaving the UI to be implemented natively. Since it’s Kotlin, you can take full advantage of its language features - concise, safe, etc. Moreover, if you’re coming from android you might already be familiarised with Kotlin and even if you’re an iOS developer you’ll see that it’s quite similar to Swift.

Join me on this triathlon and let’s go through Android, iOS, and Web in under 30 minutes.",carlos_mota,"Android, iOS, Kotlin, KMM","A Multiplatform triathlon: Kotlin through Android, iOS and Web"
