speaker_id,responder_id,bio,company,name,photoUrl,shortBio,socials,title,country
akeem,17,"I am an entrepreneur at heart that is excited about using technology to transform the way we live. I believe in fostering the local developer community and I've begin the opportunity to participate in past GDG events as presenter and panelist. ",Wepala Limited,Akeem Philbert,https://firebasestorage.googleapis.com/v0/b/devfest-71724.appspot.com/o/akeem.jpeg?alt=media&token=a80a2230-1afd-4e3c-b4a1-fa764b526b43,"I am the founder of Wepala and I believe everyone has great ideas, it's just a matter of who can execute ","https://www.linkedin.com/in/aphilbert/, https://ak33m.com/, https://github.com/wepala, https://twitter.com/kanundrum",Founder,Trinidad & Tobago
carl_handy,15,"Carl Handy has led an impressive career as a Front-end Software Engineer and User Experience Designer (UXD) in his four years working in the tech industry. In 2020 he was recognized by Prismic, a San Francisco based SaaS company, for his contributions to their CMS platform.

Serving as Front-end Engineer and Lead UX Designer at IntellectStorm played a major role in honing the skills he has today. While there, he was afforded the opportunity to work on and lead projects in various industries including healthcare, fintech and education.

Carl is also a Project Periwinkle Ambassador, LACNIC member and has founded his own companies namely Narawtiv, an art studio, and Kalpa, an experience design and development agency.

When he’s not working, Carl enjoys writing poetry, digital painting and table tennis.",Kalpa,Carl Handy,https://firebasestorage.googleapis.com/v0/b/devfestcarib.appspot.com/o/carl.jpg?alt=media&token=fe3f7205-d8d0-4057-9e10-942c1cb92eb6,"I'm a Frontend Engineer with a passion for Vuejs and designing intuitive user experiences. Throughout my 4 year career I've  worked on and led projects in various industries including healthcare, fintech and education.","twitter.com/carlhandy18, kalpa.dev, carlhandy.ga, linkedin.com/in/carlhandy",Founder/CEO,Guyana
carlos_mota,11,"Hello all!

I've been speaking for a couple years now, you can find some of the slides here:
- https://speakerdeck.com/cmota

And all the talks that I gave at my website:
- https://www.cafonsomota.xyz/talks/",WIT Software,Carlos Mota,https://firebasestorage.googleapis.com/v0/b/devfestcarib.appspot.com/o/carlos.jpg?alt=media&token=74759e21-2f3e-4b8b-9816-842d5ef58293,"Android tech lead at WIT Software, he can easily be spotted there working on the company RCS solution. An enthusiastic for new technology and always trying to reach those last 20% of all of his side projects that seem to be really far away, he loves to share his knowledge with others either by giving talks, teaching, writing or along with a cold beer in the nearest pub. GDG Coimbra organizer and Kotlin evangelist, he also has a huge passion for travel, photography, space and the occasional run.","https://twitter.com/cafonsomota, https://www.linkedin.com/in/cafonsomota/, http://cafonsomota.xyz/",Lead Software Engineer,Portugal
deandrew_moore,26,"I have presented at a pass GDG meetup, and also at The Jamaican Developers event hosted by Oshane Bailey.","UWI Mona, Student. Past Palisadoes Foundation",Deandrew Moore,https://firebasestorage.googleapis.com/v0/b/devfestcarib.appspot.com/o/deandrew.jpg?alt=media&token=f07585d1-0a2f-43dd-b04b-5e8912537b15,"I am Deandrew Moore, a third year Computer Science Major and Economics Minor at the UWI Mona. I am from Manchester, Jamaica and attended the deCarteret College High School in Mandeville. I love soca parties, football, working out and coding. One of dream jobs is to work at Twitter or Netflix","https://github.com/Deandrew007, https://deandrewmoore.com/, https://twitter.com/_drewdon, https://www.linkedin.com/in/deandrew-moore-38091a172/, https://www.instagram.com/_drew.don/",Flutter Engineer,Jamaican
deenauth,16,"A Certified Conversational Artificial Intelligence (AI) Developer with 5 years’ experience in working on medium to large scale software projects both locally and internationally. I am a final year student at the University of London (Distance Learning) studying B.Sc. Computing and Information Systems. Currently, I am a Technology Developer II at V75 Inc, working primarily in the Oracle Development Space using APEX and associated technologies to build scalable enterprise applications for clients globally. Additionally, I build and deploy Conversational AI Virtual Assistants using both proprietary and open source technologies like DialogFlow. I have an increased interest in Database Management, particularly in the scalability and optimization of data using Machine Learning techniques along with researching the expansion of Automatic Speech Recognition Systems (ASRs) to support the Caribbean Dialect in order for Virtual Assistants play a bigger role in our society. ",V75 Inc.,Deenauth Mohabeer,https://firebasestorage.googleapis.com/v0/b/devfestcarib.appspot.com/o/deeunauth.jpg?alt=media&token=296d08f4-d42e-4901-bb96-e1a715ecfdb9,"A Conversational AI Specialist who loves Oracle. ","https://www.facebook.com/AkashMohabeer/,https://gitlab.com/dm272,https://www.linkedin.com/in/deenauth-mohabeer-0052b1135/",Technology Developer II,Guyana
irwin,8,"Irwin WIlliams is a professional software developer. He’s been building software for more than 16 years. 
For the past several years, Irwin has worked with a number of researchers to provide technology-enabled solutions that brought their work to light. He’s worked in IoT, climate research and health-based application development. 
He’s the Chief Software Engineer at Teleios Systems, one of the premier software companies in the region and he’s been developing his own firm, Aiomin Studios, with a goal to help explore the linkages between research and technology.
Irwin and his wife have two beautiful daughters who teach him every day that the journey is best when it is shared.",Teleios Systems,Irwin Williams,https://firebasestorage.googleapis.com/v0/b/devfestcarib.appspot.com/o/irwin.png?alt=media&token=b5d78a17-7fa1-449d-b9cc-f46219e4cbf2,"Hi, I'm a softwre engineer working in the industry for some years. I enjoy working with new technologies and seeing great presentations. ","Twitter: @iStarr, Web: 	https://www.irwinwilliams.com, LinkedIn: https://www.linkedin.com/in/irwinwilliams/",Chief Software Engineer,Trinidad & Tobago
janiqua,14,"I am a Vincentian junior frontend engineer at my company, after transitioning from being an experienced software engineer on a desktop application. In March 2020, I gave a lightning talk at Google UK about my journey into tech in front of 250 participants. https://events.withgoogle.com/iwd2020-london/speakers/ I have also spoken at in person events here in Belgium, as well as within my company, and even before that at UWI Cave Hill, and in SVG.",Mediagenix,Janique-ka John,https://firebasestorage.googleapis.com/v0/b/devfestcarib.appspot.com/o/janique.jpg?alt=media&token=0e29d72c-ae4d-405e-8178-3c0b24b6efab,"I am 29 years old, from St.Vincent and the Grenadines and a junior Frontend Engineer. I am currently based in Brussels.","www.twitter.com/janiquekajohn, https://github.com/luvi, https://www.linkedin.com/in/janiquekajohn/",Frontend Engineer,St. Vincent & The Grenadines
joel_dean,5,"A seasoned Software Architect and Device Magician, Joel Dean is Jamaica’s very own tech mogul in the making. At 27 years old, he boasts over 10 years of experience building applications for iPhones, Android phones, and computers. Joel has built several tech startups and lead Android development efforts, providing solutions even in the most remote areas of the world. He has managed two of the world’s largest data collection platforms, deployed to more than 50 countries, in 40 languages, for more than 1.5 million users. Joel is now a Software Engineer at Automattic, the owner of the popular blogging platform WordPress that has over 135 million active websites reaching over a billion users per month. Joel Dean is an active member of the World Economic Forum’s Global Shapers and also the lead organizer for the Google Developers Group Kingston.",Automattic,Joel Dean,https://firebasestorage.googleapis.com/v0/b/devfestcarib.appspot.com/o/joel.jpg?alt=media&token=bda79bd4-dfbe-4563-a8e5-5c5638e114d1,"Joel Dean is a Senior Software Engineer at Automattic, the company behind WordPress.com, Tumblr & WooCommerce. He is an active organizer of GDG Kingston.",https://github.com/jd-alexander,Senior Software Engineer,Jamaica
khadine_singh,1,"Khadine has been at Google for 6+ years and currently works as a Quantitative User Experience (UX) Researcher at Google working on Google Maps. As a Quantitative UX Researcher, her role is to use data to make Google Maps better for users and to drive product excellence by enabling user-centered product measurement. Quantitative UX Researchers do this by leveraging skills in experimental design, statistical analysis, programming, and human-computer interaction to improve user experience. More specifically, Khadine works with teams to design and analyze experiments to test new concepts before launch, define success metrics and set up tracking for these metrics, and run custom research studies to understand user needs (think analyzing product logs data or running large-scale, representative surveys using methods like conjoint analysis). Khadine runs many internal 

Before working on Google Maps, Khadine worked as a Quantitative UX Researcher with Google Search and as a Product Analyst with Google's in-house social science research team. She holds a degree in Mechanical Engineering with a minor in Statistics from Columbia University.

As a proud Trini, she is excited to see the tech scene flourishing in T&T and hopes to support this community however she can.",Google,Khadine Singh,https://firebasestorage.googleapis.com/v0/b/devfestcarib.appspot.com/o/khadine.jpg?alt=media&token=2600e3c3-189b-445c-923b-9805734984cc,"Khadine hails from Trinidad and Tobago and is a 6+ year Googler working as a Quantitative UX Researcher on Google Maps. As a Quantitative UXR, her role is to analyze data to uncover insights and make Google Maps better for users and to drive product excellence by enabling user-centered product measurement.",https://www.linkedin.com/in/khadine-singh-5042b055/,Quantitative User Experience Researcher,Trinidad & Tobago
lashaun,10,"In a Digital Marketing landscape that is growing crowded daily, LaShaun Ramdin stands out as a true expert in the field. A graduate of Google Squared Online with a distinction in Digital Marketing, Mrs Ramdin is Certified in Google Analytics, AdWords - Search, Video, Mobile, Display and Digital Sales.

A consummate sales professional with over 16 years experience, she understands that like sales, Digital Marketing is about building relationships and she uses that strength to deliver to her clients a tangible return on their investments. LaShaun has held talks on aspects of Digital Marketing in conjuction with the Trinidad and Tobago Chamber of Commerce, The University of the Southern Caribbean and Girls in ICT.

Among her achievements is establishing Loop News as the number one Caribbean online media platform in her role as Country Manager and helping to grow the brand across the region with sales responsibility for Barbados, Guyana, Suriname, French West Indies and Trinidad and Tobago.  She currently heads up another online media house, IzzSo Media, as their Managing Director. 
A mother or two, she enjoys travel and spending time with her family.",Ramdin Consultancy,LaShaun Ramdin,https://firebasestorage.googleapis.com/v0/b/devfestcarib.appspot.com/o/LaShaun%20Ramdin.jpg?alt=media&token=cca3a03f-6959-49af-9e12-887225b6e72b,"Excellent attention to detail with the ability to lead and influence at all decision making levels. Specialties: Digital Marketing, Digital Strategy, Advertising, Campaign performance, Sales Professional, Mobile advertising, SEO, Digital Media, Analytics, Social Media, Content Creation, Media Management, Customer service, Negotiations, Business Development and Social Media Training. ",https://www.linkedin.com/in/lashaunramdin/,Ramdin Consultancy,Trinidad & Tobago
